index,sents,sentiments
0,slide giáo trình đầy đủ .,2.0
1,"nhiệt tình giảng dạy , gần gũi với sinh viên .",2.0
2,đi học đầy đủ full điểm chuyên cần .,0.0
3,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,0.0
4,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",2.0
5,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",2.0
6,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .",1.0
7,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .",0.0
8,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",0.0
9,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,0.0
10,thầy rất tận tình và đi dạy rất đúng giờ .,2.0
11,dễ bị áp lực .,0.0
12,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .",1.0
13,môn học còn dễ cần nâng độ khó lên nữa .,0.0
14,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .",0.0
15,hài lòng về tất cả .,2.0
16,"nhiệt tình , vui vẻ .",2.0
17,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,2.0
18,phong cách giảng bài của thầy rất gần gũi với sinh viên !,2.0
19,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,2.0
20,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,0.0
21,tiết học thoải mái .,2.0
22,"thầy nhiệt tình , quan tâm tới sinh viên .",2.0
23,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !",2.0
24,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .",0.0
25,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,2.0
26,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,0.0
27,nên biên soạn một tài liệu của chính trường ta .,0.0
28,không giúp đỡ sinh viên trong những vấn đề xung quanh .,0.0
29,"bài tập đa dạng , cụ thể .",2.0
30,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",0.0
31,slide up đầy đủ trước mỗi buổi học .,2.0
32,"nội dung giảng dạy quá nhàm chán , khô khan .",0.0
33,lượng kiến thức quá nhiều trong một học kỳ .,0.0
34,thầy chép bảng nhiều .,0.0
35,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2.0
36,"chúc các thầy cô , anh chị làm việc vui vẻ !",2.0
37,"hay , nhiệt tình , dễ hiểu .",2.0
38,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0.0
39,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2.0
40,hy vọng học kỳ sau có thể học được với cô .,2.0
41,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0.0
42,trong khi giảng nói nhỏ quá .,0.0
43,thực hành khó hiểu .,0.0
44,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2.0
45,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2.0
46,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2.0
47,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0.0
48,"thầy nhiệt tình , dễ chịu .",2.0
49,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0.0
50,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2.0
51,cô rất nhiệt tình và tận dụng tốt thời gian .,2.0
52,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2.0
53,"thầy nhiệt tình , gần gũi .",2.0
54,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2.0
55,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1.0
56,bài tập và có code tham khảo .,2.0
57,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0.0
58,tài liệu không chi tiết lắm .,0.0
59,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2.0
60,thầy dạy rất hay và nhiệt tình .,2.0
61,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0.0
62,giúp đỡ học sinh quá ít .,0.0
63,cô dạy buồn ngủ quá .,0.0
64,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0.0
65,thầy tận tình vui tính .,2.0
66,cô lại kiểu khó tính nữa .,0.0
67,tạo hứng thú cho sinh viên .,2.0
68,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2.0
69,có hứng thú học .,2.0
70,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1.0
71,"giảng viên hướng dẫn cụ thể , chi tiết .",2.0
72,giáo trình quá ít và nội dung không khác nhau là mấy .,0.0
73,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0.0
74,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0.0
75,"cần có một phòng máy tốt hơn , hiện đại hơn .",0.0
